STT,	Mã hiệu,	Tên Dịch vụ,	ĐVT,	Giá Dịch vụ,	Giá BHYT 
303	TP0B	Nhuộm phiến đồ tế bào theo Papanicolaou (Thực hiện trên mẫu phết FNA)	Lần	374,000	374,000
304	TP0O	Nhuộm hóa mô miễn dịch cho mỗi một dấu ấn (kháng thể MSH2)	Lần	731,000	510,400
305	TPZ6	Nhuộm xanh alcian	Lần	464,000	464,000
306	TPZ7	Xét nghiệm mô bệnh học thường quy cố định, chuyển, đúc, cắt, nhuộm…các bệnh phẩm sinh thiết	Lần	500,000	388,800
 	 	TAI MŨI HỌNG	 	 	 
307	TZ01	Nội soi tai mũi họng	Lần	270,000	116,100
308	TZ02	Nội soi tai	Lần	100,000	40,000
309	TZ03	Nội soi mũi xoang	Lần	100,000	40,000
310	TZ04	Nội soi họng	Lần	100,000	40,000
311	TZ05	Đo thính lực đơn âm	Lần	200,000	49,500
312	TZ06	Đo phản xạ cơ bàn đạp	Lần	100,000	34,500
313	TZ07	Đo nhĩ lượng	Lần	100,000	34,500
 	 	THĂM DÒ CHỨC NĂNG	 	 	 
314	MF20	Điện tim thường (ECG)	Lần	50,000	39,900
315	MF22	Đo áp lực hậu môn trực tràng	Lần	220,000	220,000
316	MF23	Đo chức năng hô hấp có thuốc	Lần	300,000	144,300
317	MF24	Đo chức năng hô hấp không thuốc	Lần	200,000	144,300
318	MF26	Đo Điện cơ (EMG)	Lần	680,000	135,300
319	MF28	Đo Điện não (EEG)	Lần	400,000	75,200
320	MF58	Holter huyết áp	Lần	500,000	215,800
321	MF73	Theo dõi nhịp tim thai và cơn co tử cung bằng monitor sản khoa	Lần	300,000	55,000
322	MF74	Monitor theo dõi tim thai 1 lần (60 phút)	Lần	100,000	 
 	 	VẬT LÝ TRỊ LIỆU	 	 	 
323	NWA9	Vật lý trị liệu hô hấp (người lớn)	Lần	140,000	 
324	NWB0	Vật lý trị liệu hô hấp (trẻ nhỏ)	Lần	140,000	 
325	NWB3	Tập các vận động thô của bàn tay	Lần	100,000	 
326	NWB4	Tập các vận động khéo léo của bàn tay	Lần	100,000	 
327	NWB8	Tập các chức năng sinh hoạt hằng ngày (ADL)	Lần	150,000	 
328	NWB9	Tập tri giác và nhận thức	Lần	100,000	 
329	NWC5	Tập giao tiếp (ngôn ngữ ký hiệu, hình ảnh…)	Lần	150,000	 
330	NWI8	Tập điều hợp vận động	Lần	80,000	 
331	NWN2	Tập vận động cột sống	Lần	70,000	 
332	NW04	Điều trị bằng máy kéo giãn cột sống	Lần	90,000	0
333	NW05	Chườm lạnh	Lần	50,000	 
334	NW06	Chườm nóng	Lần	45,000	 
335	NW10	Điều trị bằng sóng ngắn	Lần	75,000	0
336	NW31	Tập kéo dãn	Lần	70,000	 
337	NW33	Kỹ thuật tập trên banh điều trị	Lần	70,000	 
338	NWA8	Tập do cứng khớp	Lần	115,000	0
339	NWS9	Tập đi với khung tập đi [tập đi đứng cho người bệnh thở máy]	Lần	600,000	0
340	NWU1	Điều trị bằng siêu âm [2 vị trí]	Lần	120,000	0
341	NWU6	Điều trị bằng các dòng điện xung	Lần	100,000	0
 	 	TRUYỀN MÁU	 	 	 
342	TM87	Chi phí vận chuyển/ 01 túi máu (Chế phẩm máu) [BV Truyền máu – Huyết học] [mua máu]	Lần	17,000	0
343	TM75	Chi phí vận chuyển/ 01 túi máu (Chế phẩm máu) (BV Truyền máu - Huyết học)	Lần	17,000	0
344	TM72	Chi phí rửa (chưa bao gồm khối hồng cầu)	Lần	565,000	 
 	 	CHÍCH NGỪA	 	 	 
345	TI72	Tiêm trong da [không bao gồm vắc xin]	Lần	65,000	 
346	TI73	Tiêm dưới da [không bao gồm vắc xin]	Lần	65,000	 
347	TI74	Tiêm bắp thịt [không bao gồm vắc xin]	Lần	65,000	 
 	 	HẬU MÔN -TRỰC TRÀNG	 	 	 
348	F056	Nong hậu môn không gây mê	Lần	3,200,000	 
349	F065	Phẫu thuật lấy toàn bộ trĩ vòng [gây tê]	Lần	7,600,000	2,276,400
350	F069	Phẫu thuật cắt trĩ kinh điển có sử dụng dụng cụ hỗ trợ [gây tê]	Lần	5,500,000	2,276,400
351	F074	Phẫu thuật áp xe hậu môn, có mở lỗ rò [gây tê]	Lần	6,400,000	2,276,400
352	F075	Phẫu thuật Longo	Lần	5,600,000	2,507,900
353	F076	Phẫu thuật điều trị rò hậu môn phức tạp [gây tê]	Lần	7,700,000	2,276,400
354	F078	Phẫu thuật điều trị sa trực tràng đường bụng [không cắt ruột - gây tê]	Lần	7,900,000	 
355	F080	Phẫu thuật khâu treo trĩ theo phương pháp Longo cải biên	Lần	5,600,000	2,507,900
356	F084	Phẫu thuật điều trị táo bón do rối loạn co thắt cơ mu – trực tràng (Anismus)	Lần	7,600,000	 
357	F103	Kỹ thuật can thiệp rối loạn đại tiện bằng phản hồi sinh học (Biofeedback)	Lần	400,000	352,800
358	F123	Điện giao thoa	Lần	270,000	 
359	F124	Phẫu thuật Cắt trĩ từ 2 búi trở lên [gây tê]	Lần	4,900,000	2,276,400
360	F133	Phẫu thuật trĩ độ III (Gây mê)	Lần	6,700,000	2,816,900
361	F135	Phẫu thuật cắt trĩ kinh điển có sử dụng dụng cụ hỗ trợ (Gây mê)	Lần	6,600,000	2,816,900
362	F138	Phẫu thuật Longo (Gây mê)	Lần	6,700,000	2,507,900
363	F148	Phẫu thuật điều trị rò hậu môn đơn giản (Gây mê)	Lần	6,600,000	2,816,900
364	F149	Phẫu thuật tái tạo cơ vùng hậu môn kiểu overlap trong điều trị đứt cơ vùng hậu môn) (Gây mê)	Lần	8,900,000	3,116,800
365	F159	Phẫu thuật Cắt trĩ từ 2 búi trở lên (Gây mê)	Lần	6,000,000	2,816,900
366	F165	Nong hậu môn (gây tê)	Lần	2,000,000	 
 	 	LỒNG NGỰC MẠCH MÁU	 	 	 
367	I121	Chọc hút khí màng phổi	Lần	3,000,000	162,900
368	I122	Bơm rửa khoang màng phổi	Lần	4,300,000	248,500
369	I123	Điều trị suy tĩnh mạch bằng Laser nội mạch	Lần	7,200,000	2,157,100
370	I135	Cắt bỏ giãn tĩnh mạch chi dưới (hai bên)	Lần	10,900,000	3,433,300
371	I156	Cắt phổi và màng phổi	Lần	13,100,000	9,583,300
372	I209	Phẫu thuật điều trị máu đông màng phổi	Lần	12,900,000	7,392,200
373	I255	Phẫu thuật nội soi xử trí tràn máu, tràn khí màng phổi	Lần	10,900,000	5,859,300
374	I256	Phẫu thuật nội soi cắt một thùy phổi kèm nạo vét hạch	Lần	14,700,000	9,272,200
375	I258	Chọc hút khí màng phổi (tiểu phẫu)	Lần	350,000	162,900
376	I260	Phẫu thuật tạo thông động – tĩnh mạch để chạy thận nhân tạo	Lần	10,400,000	1,176,100
377	I275	Dẫn lưu áp xe phổi (Gây mê)	Lần	10,000,000	628,500
378	I283	Phẫu thuật cắt u máu nhỏ [đường kính < 10 cm] [gây tê]	Lần	7,300,000	2,436,100
379	I304	Phẫu thuật nội soi cắt - đốt hạch giao cảm ngực [1 bên]	Lần	14,300,000	 
380	I305	Phẫu thuật nội soi cắt - đốt hạch giao cảm ngực [2 bên]	Lần	14,400,000	 
 	 	MẮT	 	 	 
381	M126	Lấy dị vật giác mạc sâu	Lần	600,000	359,500
382	M127	Lấy dị vật giác mạc	Lần	260,000	99,400
383	M128	Lấy dị vật kết mạc	Lần	130,000	71,500
384	M131	Lấy calci kết mạc	Lần	280,000	40,900
385	M217	Đo thị lực	Lần	80,000	 
 	 	NGOẠI THẦN KINH	 	 	 
386	K096	Phẫu thuật nội soi giải phóng ống cổ tay	Lần	15,300,000	2,434,500
387	K132	Phẫu thuật điều trị hội chứng ống cổ tay	Lần	12,200,000	2,698,800
388	K141	Phẫu thuật giảm áp dây thần kinh VII	Lần	19,300,000	7,551,300
389	K145	Phẫu thuật giải phóng chèn ép TK ngoại biên	Lần	12,400,000	2,698,800
390	K148	Phẫu thuật gỡ dính thần kinh	Lần	13,700,000	3,011,900
391	K182	Phẫu thuật giải ép thần kinh (ống cổ tay, Khuỷu…)	Lần	14,900,000	2,698,800
392	K210	Phẫu thuật điều trị hội chứng ống cổ tay (tiểu phẫu)	Lần	3,500,000	2,698,800
393	K211	Phẫu thuật nội soi giải phóng ống cổ tay (Gây mê)	Lần	16,900,000	2,434,500
394	K214	Phẫu thuật giải phóng chèn ép TK ngoại biên [điều trị hội chứng chền ép thần kinh trụ-Gây mê]	Lần	10,500,000	2,698,800
395	K215	Phẫu thuật giải phóng chèn ép TK ngoại biên (Gây mê)	Lần	13,300,000	2,698,800
396	K216	Phẫu thuật gỡ dính thần kinh [gây tê]	Lần	12,500,000	2,390,200
397	K217	Phẫu thuật nối thần kinh ngoại biên và ghép TK ngoại biên (Gây mê)	Lần	20,100,000	2,698,800
398	K218	Phẫu thuật giải ép thần kinh (ống cổ tay, Khuỷu…) (Gây mê)	Lần	16,100,000	2,698,800
 	 	NIỆU THẬN	 	 	 
399	H183	Lấy sỏi niệu quản qua nội soi (qua ngã niệu đạo)	Lần	11,300,000	1,010,000
400	H189	Nội soi bàng quang, bơm rửa lấy máu cục tránh phẫu thuật	Lần	6,700,000	953,800
401	H190	Nội soi niệu quản chẩn đoán	Lần	6,800,000	975,300
402	H192	Nong niệu đạo (tiểu phẫu)	Lần	630,000	273,500
403	H204	Nội soi cắt u niệu đạo, van niệu đạo	Lần	8,400,000	1,596,600
404	H208	Cắt hẹp bao quy đầu (phòng mổ)	Lần	5,900,000	269,500
405	H221	Cắt thận đơn thuần	Lần	14,000,000	4,703,100
406	H234	Chích áp xe tầng sinh môn	Lần	3,700,000	873,000
407	H242	Dẫn lưu viêm tấy quanh thận, áp xe thận	Lần	11,700,000	1,920,900
408	H288	Nội soi nong niệu quản hẹp	Lần	12,200,000	950,500
409	H305	Nội soi mở rộng niệu quản, nong rộng niệu quản	Lần	9,500,000	1,920,900
410	H308	Sinh thiết tinh hoàn, mào tinh	Lần	5,200,000	 
411	H311	Nội soi bàng quang sinh thiết	Lần	6,800,000	720,300
412	H313	Nội soi bàng quang không sinh thiết (phòng mổ)	Lần	6,800,000	575,300
413	H314	Tán sỏi ngoài cơ thể	Lần	10,600,000	2,454,000
414	H326	Lấy sỏi niệu quản đơn thuần	Lần	9,100,000	4,569,100
415	H327	Phẫu thuật lấy sỏi thận	Lần	13,200,000	4,569,100
416	H330	Phẫu thuật nội soi lấy sỏi niệu quản	Lần	13,400,000	4,497,100
417	H338	Phẫu thuật nội soi cắt chỏm nang thận sau phúc mạc	Lần	10,100,000	4,596,000
418	H341	Phẫu thuật Tạo hình dây thắng	Lần	6,700,000	 
419	H343	Nong da quy đầu	Lần	5,700,000	 
420	H357	Nong da quy đầu (tiểu phẫu)	Lần	350,000	 
421	H415	Lấy sỏi niệu quản đơn thuần [gây tê]	Lần	8,000,000	3,546,600
422	H417	Phẫu thuật nội soi lấy sỏi niệu quản [gây tê]	Lần	12,300,000	 
423	H418	Nội soi bàng quang tán sỏi (Gây tê)	Lần	7,300,000	1,345,000
424	H423	Khâu da bìu (Gây mê)	Lần	8,200,000	 
425	H426	Nong niệu đạo và đặt sonde đái (phòng mổ) (Gây mê)	Lần	5,200,000	273,500
426	H427	Chích áp xe tầng sinh môn (Gây mê)	Lần	4,800,000	873,000
427	H429	Mở thông bàng quang trên xương mu (Gây tê)	Lần	5,900,000	405,500
428	H430	Nội soi niệu quản để đặt thông JJ (Gây tê)	Lần	6,800,000	950,500
429	H464	Nội soi bàng quang cắt u [gây mê]	Lần	13,400,000	5,030,900
430	H465	Nội soi bàng quang cắt u [gây tê]	Lần	12,000,000	3,721,800
 	 	NỘI SOI	 	 	 
431	U002	Nội soi can thiệp - cắt polyp ống tiêu hóa < 1cm (phòng mổ)	Lần	4,400,000	1,108,300
432	U003	Nội soi can thiệp - cắt polyp ống tiêu hóa > 1cm hoặc nhiều polyp (phòng mổ)	Lần	5,500,000	1,743,100
433	U004	Nội soi can thiệp - gắp giun, dị vật ống tiêu hóa (phòng mổ)	Lần	5,600,000	1,743,100
434	U006	Nội soi can thiệp- cắt 01 polyp ống tiêu hóa < 1cm (gây mê) (phòng mổ)	Lần	4,500,000	1,108,300
435	U007	Nội soi can thiệp - cắt 01 polyp ống tiêu hóa > 1cm hoặc nhiều polyp (gây mê) (phòng mổ)	Lần	5,800,000	1,743,100
436	U008	Nội soi can thiệp - gắp giun, dị vật ống tiêu hóa (gây mê) (phòng mổ)	Lần	6,000,000	1,743,100
437	U012	Nội soi đại trực tràng ống mềm gây mê (có thuốc, có sinh thiết) (phòng mổ)	Lần	4,300,000	677,500
438	U013	Nội soi đại trực tràng ống mềm gây mê (không thuốc, có sinh thiết) (phòng mổ)	Lần	4,200,000	677,500
439	U015	Nội soi đại trực tràng toàn bộ ống mềm có sinh thiết (có thuốc) (phòng mổ)	Lần	3,800,000	468,800
440	U018	Nội soi đại trực tràng toàn bộ ống mềm không sinh thiết (gây mê) (phòng mổ)	Lần	3,800,000	677,500
441	U019	Nội soi đại trực tràng toàn bộ ống mềm không sinh thiết (không thuốc) (phòng mổ)	Lần	3,700,000	352,100
442	U020	Nội soi thực quản - dạ dày - tá tràng có sinh thiết (ống mềm) (phòng mổ)	Lần	3,300,000	493,800
443	U023	Nội soi thực quản - dạ dày - tá tràng ống mềm có sinh thiết (ống nghiêng) (phòng mổ)	Lần	3,300,000	493,800
444	U024	Nội soi thực quản - dạ dày - tá tràng ống mềm có sinh thiết (ống nghiêng) gây mê (phòng mổ)	Lần	3,700,000	493,800
445	U025	Nội soi thực quản - dạ dày - tá tràng ống mềm không sinh thiết (ống nghiêng) gây mê (phòng mổ)	Lần	2,700,000	276,500
446	U026	Nội soi thực quản- dạ dày- tá tràng có thể kết hợp sinh thiết (ống mềm, gây mê) (phòng mổ)	Lần	3,700,000	276,500
447	U028	Nội soi trực tràng ống mềm có sinh thiết (có thuốc) (phòng mổ)	Lần	2,600,000	323,500
448	U029	Nội soi trực tràng ống mềm có sinh thiết (không thuốc) (phòng mổ)	Lần	2,600,000	323,500
449	U030	Nội soi trực tràng ống mềm không sinh thiết (có thuốc) (phòng mổ)	Lần	2,400,000	215,200
450	U033	Tiêm hoặc kẹp cầm máu qua nội soi đại tràng (phòng mổ)	Lần	4,100,000	656,700
 	 	NỘI THẬN	 	 	 
451	O025	Thay băng vết thương chiều dài dưới 15cm (kiểm tra đường hầm catheter lọc màng bụng và hướng dẫn ở người bệnh lọc màng bụng ngoại trú)	Lần	150,000	64,300
 	 	RĂNG HÀM MẶT	 	 	 
452	R105	Chích áp xe lợi	Lần	800,000	218,500
453	R106	Chích tháo mủ trong áp xe nông vùng hàm mặt	Lần	1,200,000	126,700
454	R113	Cố định tạm thời sơ cứu gãy xương hàm	Lần	2,400,000	414,400
455	R277	Phẫu thuật điều trị khe hở môi hai bên (đơn)	Lần	8,000,000	2,988,600
456	R279	Phẫu thuật điều trị khe hở môi một bên (đơn)	Lần	5,200,000	2,888,600
457	R295	Sinh thiết u phần mềm và xương vùng hàm mặt (gây mê nội khí quản)	Lần	5,200,000	294,500
458	R297	Sửa sẹo xấu, nếp nhăn nhỏ (Thẩm mỹ)	Lần	2,730,000	 
459	R429	Cắt u nướu đường kính từ 2cm trở lên (Phòng mổ)	Lần	3,800,000	521,000
460	R516	Khâu vết thương nông vùng hàm mặt > 5cm ( Khâu vết thương phần mềm nông dài > 5 cm ) (Phòng mổ) (Gây mê)	Lần	4,900,000	194,700
461	R517	Khâu vết thương phần mềm nông vùng hàm mặt < 5cm (đơn giản) (Phòng mổ) (Gây mê)	Lần	4,800,000	194,700
462	R518	Khâu vết thương phần mềm sâu vùng hàm mặt < 5cm (đơn giản) (Phòng mổ) (Gây mê)	Lần	4,600,000	289,500
463	R519	Khâu vết thương phần mềm sâu vùng hàm mặt > 5cm (đơn giản) (Phòng mổ) (Gây mê)	Lần	4,900,000	289,500
464	R536	Chích áp xe lợi (Phòng mổ)	Lần	3,100,000	218,500
465	R537	Chích tháo mủ trong áp xe nông vùng hàm mặt (Phòng mổ)	Lần	3,700,000	126,700
466	R594	Rạch áp xe trong miệng (Phòng mổ)	Lần	3,900,000	295,500
 	 	SẢN - PHỤ KHOA	 	 	 
467	L097	Phẫu thuật mở bụng bóc u xơ tử cung	Lần	7,100,000	3,628,800
468	L098	Nội soi buồng tử cung, vòi trứng thông vòi trứng	Lần	7,700,000	 
469	L101	Cắt cụt cổ tử cung [gây mê]	Lần	5,100,000	3,019,800
470	L104	Phẫu thuật nội soi cắt phần phụ	Lần	10,700,000	5,503,300
471	L106	Thủ thuật xoắn polip cổ tử cung, âm đạo	Lần	800,000	436,200
472	L107	Phẫu thuật cắt polip buồng tử cung (đường bụng, đường âm đạo) + nạo lòng tử cung	Lần	8,100,000	4,110,800
473	L134	Lấy vòng tránh thai có dây	Lần	410,000	 
474	L135	Lấy dụng cụ tử cung trong ổ bụng qua đường rạch nhỏ	Lần	7,500,000	3,191,500
475	L147	Nạo thai khó	lần	3,300,000	 
476	L188	Stress test	Lần	400,000	 
477	L140	Nạo buồng tử cung chẩn đoán (gây tê)	Lần	800,000	 
478	L141	Nạo buồng tử cung chẩn đoán (gây mê)	Lần	3,000,000	 
479	L142	Phá thai bệnh lý (bệnh lý mẹ, bệnh lý thai)	Lần	1,250,000	450,000
480	L143	Nạo phá thai bệnh lý (gây mê)	Lần	4,300,000	450,000
481	L146	Nạo thai do mổ cũ	Lần	4,490,000	700,200
482	L152	Cắt u thành âm đạo	Lần	4,300,000	1,716,500
483	L154	Phẫu thuật cắt tử cung đường âm đạo	Lần	11,000,000	4,168,300
484	L155	Phẫu thuật cắt tử cung thắt động mạch hạ vị trong cấp cứu sản khoa	Lần	12,000,000	5,142,900
485	L157	Phẫu thuật chửa ngoài tử cung không có choáng	Lần	7,500,000	3,217,800
486	L174	Soi cổ tử cung	Lần	340,000	68,100
487	L177	Triệt sản nữ qua đường rạch nhỏ	Lần	5,600,000	 
488	L185	Phẫu thuật mở bụng cắt phần phụ trái	Lần	6,720,000	3,217,800
489	L186	Phẫu thuật mở bụng cắt phần phụ phải	Lần	6,720,000	3,217,800
490	L229	Phẫu thuật lấy thai lần đầu [song thai-gây tê]	Lần	11,200,000	1,773,600
491	L241	Phẫu thuật lấy thai do bệnh lý sản khoa (rau tiền đạo, rau bong non, tiền sản giật, sản giật...) (gây mê)	Lần	14,300,000	4,739,300
492	L257	Đỡ đẻ ngôi ngược	Lần	7,600,000	1,191,900
493	L258	Đỡ đẻ từ sinh đôi trở lên	Lần	9,900,000	1,510,300
494	L259	Đỡ đẻ thường ngôi chỏm /BN có vết mổ cũ	Lần	7,600,000	786,700
495	L264	Giảm đau trong đẻ bằng phương pháp gây tê ngoài màng cứng	Lần	1,500,000	 
496	L265	Phẫu thuật cắt phanh lưỡi	Lần	600,000	344,200
497	L278	Tiêm bắp thịt (Kích thích trưởng thành phổi thai nhi)	Lần	500,000	15,100
498	L279	Điều trị tắc tia sữa bằng máy hút	Lần	180,000	 
499	L281	Làm lại vết mổ thành bụng (bục, tụ máu, nhiễm khuẩn, ...) sau phẫu thuật sản phụ khoa	Lần	7,400,000	2,833,400
500	L284	Phẫu thuật nội soi cắt u buồng trứng và phần phụ (02 bên)	Lần	12,100,000	5,503,300
501	L291	Gây tê tủy sống liều thấp giảm đau trong đẻ	Lần	1,300,000	 
502	L294	Tiêm bắp thịt (Điều trị nội khoa thai ngoài tử cung bằng Methotrexate)	Lần	800,000	 
503	L295	Phá thai bằng thuốc cho tuổi thai đến hết 7 tuần (đối với người bệnh muốn theo dõi tại bệnh viện)	Lần	1,500,000	 
504	L296	Phẫu thuật thắt động mạch hạ vị trong cấp cứu sản phụ khoa	Lần	9,200,000	5,142,900
505	L299	Bóc nang tuyến Bartholin (Phòng mổ)	Lần	3,700,000	1,369,400
506	L301	Nạo buồng tử cung chẩn đoán (gây tê) (Phòng mổ)	Lần	3,000,000	 
507	L302	Nạo sót thai, nạo sót rau sau sẩy, sau đẻ (Phòng mổ)	Lần	3,600,000	376,500
508	L304	Phá thai bệnh lý (bệnh lý mẹ, bệnh lý thai) (Phòng mổ)	Lần	4,300,000	 
509	L305	Phá thai đến hết 7 tuần bằng phương pháp hút chân không (Phòng mổ)	Lần	3,000,000	 
510	L306	Phẫu thuật cắt polip cổ tử cung (Phòng mổ)	Lần	4,000,000	1,535,600
511	L307	Rạch nang tuyến Bartholin (Phòng mổ)	Lần	3,000,000	951,600
512	L320	Đỡ đẻ từ sinh đôi trở lên/ BN có vết mổ cũ	Lần	10,600,000	1,510,300
513	L321	Phẫu thuật lấy thai lần hai trở lên [sinh đôi trở lên - vết mổ cũ 1 lần - gây tê]	Lần	12,400,000	2,631,000
514	L323	Phẫu thuật lấy thai lần đầu [tam thai - gây tê]	Lần	13,500,000	1,773,600
515	L339	Phẫu thuật lấy thai do bệnh lý sản khoa [rau tiền đạo, rau bong non, tiền sản giật, sản giật...] [gây tê]	Lần	13,200,000	3,578,900
516	L402	Đẻ thường (Đỡ đẻ thường ngôi chỏm)	Lần	6,900,000	786,700
517	L403	Đẻ khó (sanh giúp) ( Forceps hoặc Giác hút sản khoa)	Lần	8,100,000	1,141,900
 	 	TAI MŨI HỌNG	 	 	 
518	J141	Chích áp xe quanh Amidan	Lần	410,000	295,500
519	J142	Chích áp xe thành sau họng gây tê/gây mê	Lần	274,000	274,000
520	J143	Vá nhĩ đơn thuần	Lần	10,200,000	4,058,900
521	J146	Bấm sinh thiết u tai	Lần	273,000	273,000
522	J148	Bẻ cuốn mũi	Lần	820,000	165,500
523	J151	Phẫu thuật cắt thanh quản bán phần	Lần	16,300,000	5,352,100
524	J152	Phẫu thuật cắt Amidan gây mê	Lần	8,500,000	1,217,100
525	J154	Cắt cuốn dưới mũi (gây mê)	Lần	8,500,000	 
526	J156	Phẫu thuật dính thanh quản	Lần	16,200,000	 
527	J158	Phẫu thuật lấy đường rò luân nhĩ (1 bên) (gây tê)	Lần	5,500,000	580,400
528	J159	Phẫu thuật cắt mỏm trâm theo đường miệng	Lần	8,200,000	4,003,900
529	J160	Phẫu thuật cắt u nang răng sinh/u nang sàn mũi	Lần	8,200,000	1,646,800
530	J161	Phẫu thuật cắt thanh quản toàn phần	Lần	16,300,000	5,352,100
531	J162	Cắt toàn bộ thanh quản và một phần họng có vét hạch hệ thống	Lần	27,200,000	5,352,100
532	J163	Phẫu thuật cắt tuyến mang tai có hoặc không bảo tồn dây VII	Lần	15,600,000	4,944,000
533	J164	Phẫu thuật cắt u lành tính tuyến dưới hàm	Lần	12,300,000	3,397,900
534	J168	Cắt u thành bên họng	Lần	15,000,000	 
535	J169	Cắt u thành sau họng	Lần	15,200,000	 
536	J174	Chích mũi họng	Lần	120,000	 
537	J175	Chích nhọt ống tai ngoài	Lần	200,000	200,000
538	J178	Phẫu thuật tạo hình sống mũi, cánh mũi	Lần	14,300,000	2,804,100
539	J179	Phẫu thuật chỉnh hình màn hầu	Lần	14,400,000	4,535,700
540	J181	Phẫu thuật chỉnh hình vách ngăn	Lần	8,500,000	3,526,900
541	J182	Phẫu thuật chỉnh hình vách ngăn + cắt xương cuống dưới	Lần	8,600,000	3,526,900
542	J183	Phẫu thuật chỉnh hình xương con nội soi	Lần	21,800,000	 
543	J184	Chỉnh hình xương mặt	Lần	15,200,000	 
544	J185	Chọc hút dịch vành tai	Lần	180,000	64,300
545	J186	Chọc rửa xoang hàm	Lần	420,000	310,500
546	J193	Đặt Spongel	Lần	570,000	139,000
547	J320.	Hút xoang dưới áp lực (Phương pháp Proetz )	Lần	70,000	 
548	J195	Đặt ống thông khí hòm tai [gây tê]	Lần	13,800,000	2,976,800
549	J196	Phẫu thuật nội soi cầm máu mũi	Lần	9,500,000	2,981,800
550	J197	Nội soi đốt điện cuốn mũi dưới	Lần	600,000	489,900
551	J198	Phẫu thuật nội soi thắt/ đốt động mạch bướm khẩu cái [gây tê]	Lần	8,600,000	2,033,900
552	J199	Đốt họng hạt bằng nhiệt	Lần	400,000	89,400
553	J200	Ghép thanh khí quản đặt stent	Lần	28,100,000	6,282,500
554	J202	Khâu lỗ thủng bịt vách ngăn mũi	Lần	14,900,000	 
555	J203	Phẫu thuật khâu lưỡi gà	Lần	14,400,000	 
556	J205	Phẫu thuật tiệt căn xương chũm	Lần	15,500,000	5,537,100
557	J206	Lấy dị vật họng miệng	Lần	130,000	43,100
558	J209	Lấy dị vật trong mũi có gây mê	Lần	5,600,000	705,500
559	J210	Lấy dị vật trong mũi không gây mê	Lần	410,000	213,900
560	J211	Lấy dị vật tai (gây mê/ gây tê)	Lần	300,000	70,300
561	J212	Phẫu thuật lấy đường rò luân nhĩ (2 bên) (gây tê)	Lần	5,500,000	580,400
562	J214	Lấy nút biểu bì ống tai ngoài	Lần	95,000	70,300
563	J215	Phẫu thuật lấy u mũi	Lần	10,200,000	 
564	J216	Phẫu thuật khâu vết rách đơn giản vành tai (1 bên)	Lần	6,300,000	 
565	J217	Phẫu thuật khâu vết rách đơn giản vành tai (2 bên)	Lần	6,600,000	 
566	J218	Phẫu thuật mở khí quản (Gây tê/ gây mê)	Lần	5,700,000	759,800
567	J219	Mở sào bào - thượng nhĩ	Lần	10,400,000	4,058,900
568	J220	Phẫu thuật lấy sỏi ống Wharton tuyến dưới hàm	Lần	14,600,000	1,051,700
569	J222	Nắn sống mũi sau chấn thương	Lần	5,500,000	2,804,100
570	J224	Phẫu thuật nạo VA gây mê nội khí quản	Lần	8,500,000	1,658,900
571	J226	Nạo VA	Lần	5,200,000	 
572	J239	Cắt bỏ ung thư Amydan và nạo vét hạch cổ	Lần	16,400,000	5,980,000
573	J242	Phẫu thuật đặt Diabolo	Lần	12,700,000	3,209,900
574	J245	Phẫu thuật nội soi cắt u mũi xoang	Lần	17,500,000	9,611,800
575	J246	Phẫu thuật nội soi cắt u xơ mạch vòm mũi họng	Lần	32,900,000	9,151,800
576	J247	Phẫu thuật nội soi cắt u nhú đảo ngược vùng mũi xoang	Lần	17,900,000	6,463,600
577	J248	Phẫu thuật nội soi mở khe giữa	Lần	11,400,000	3,180,600
578	J257	Phẫu thuật nội soi mở khe giữa, nạo sàng, ngách trán	Lần	11,400,000	4,211,900
579	J258	Phẫu thuật nội soi mở khe giữa, nạo sàng, ngách trán, chỉnh hình vách ngăn	Lần	11,300,000	3,526,900
580	J259	Phẫu thuật nội soi mở khe giữa, nạo sàng, ngách trán, xoang bướm	Lần	12,000,000	4,211,900
581	J260	Phẫu thuật nội soi mở khe giữa, nạo sàng, xoang bướm	Lần	11,400,000	4,211,900
582	J265	Phẫu thuật nội soi mở khe giữa, nạo sàng, xoang bướm, ngách trán, chỉnh hình cuốn giữa	Lần	12,000,000	4,211,900
583	J266	Phẫu thuật nội soi mở xoang bướm	Lần	11,400,000	4,211,900
584	J267	Mổ dò khe mang các loại	Lần	15,200,000	 
585	J268	Phẫu thuật tái tạo hệ thống truyền âm	Lần	16,700,000	 
586	J271	Phẫu thuật tai xương chũm trong viêm màng não	Lần	15,500,000	5,537,100
587	J272	Phẫu thuật tai xương chũm trong viêm tắc tĩnh mạch bên	Lần	15,500,000	5,537,100
588	J273	Phẫu thuật treo sụn phễu	Lần	15,200,000	2,333,000
589	J277	Vét hạch cổ bảo tồn	Lần	15,000,000	2,140,700
590	J278	Nạo vét hạch cổ chọn lọc	Lần	15,000,000	2,140,700
591	J280	Chích rạch áp xe nhỏ (TMH)	Lần	5,400,000	218,500
592	J281	Nội soi mũi hoặc vòm hoặc họng có sinh thiết	Lần	524,000	524,000
593	J282	Lấy dị vật hạ họng	Lần	460,000	43,100
594	J283	Phẫu thuật nội soi cắt u lành tính thanh quản (papiloma, kén hơi thanh quản,…) (gây tê/gây mê)	Lần	17,000,000	4,535,700
